Date,Open,High,Low,Close,Adj Close,Volume
2019-12-25,9197.420898,9197.420898,8899.339844,9011.157227,9011.157227,599868004095
2019-12-26,9013.415039,9333.157227,8941.580078,9009.656250,9009.656250,613249052866
2019-12-27,9010.196289,9149.689453,8915.638672,9086.622070,9086.622070,592804691792
2019-12-28,9086.507813,9304.015625,9064.127930,9165.770508,9165.770508,576369826475
2019-12-29,9161.782227,9772.646484,9143.081055,9625.982422,9625.982422,693513721985
2019-12-30,9628.734375,9753.808594,9382.092773,9459.685547,9459.685547,698738190269
2019-12-31,9458.171875,9535.273438,9183.436523,9241.383789,9241.383789,637207510947
2020-01-01,9242.794922,9461.595703,9202.534180,9316.764648,9316.764648,565210538368
2020-01-02,9318.048828,9334.075195,9058.295898,9090.780273,9090.780273,573137797678
2020-01-03,9090.856445,9655.730469,9077.050781,9628.295898,9628.295898,751828899741
2020-01-04,9628.067383,9763.279297,9547.123047,9692.712891,9692.712891,533249138908
2020-01-05,9692.908203,10004.584961,9691.367188,9779.718750,9779.718750,540141680661
2020-01-06,9781.783203,10362.300781,9770.081055,10360.575195,10360.575195,652901870514
2020-01-07,10361.137695,10435.270508,10110.493164,10330.359375,10330.359375,666262594870
2020-01-08,10326.316406,10490.405273,9878.833984,10092.456055,10092.456055,670685979344
2020-01-09,10085.142578,10066.708008,9699.507813,9894.784180,9894.784180,548019930068
2020-01-10,9893.918945,10234.582031,9620.728516,10220.132813,10220.132813,644940187051
2020-01-11,10180.755859,10394.357422,10091.146484,10142.177734,10142.177734,662218103674
2020-01-12,10149.659180,10370.847656,10126.864258,10351.550781,10351.550781,605178454021
2020-01-13,10376.118164,10382.383789,10107.666016,10200.989258,10200.989258,592604240045
2020-01-14,10202.718750,11881.093750,10207.734375,11758.784180,11758.784180,1184153006264
2020-01-15,11743.142578,12053.184570,11394.316406,11756.499023,11756.499023,1073144338498
2020-01-16,11763.722656,11853.711914,11332.293945,11664.462891,11664.462891,974588889172
2020-01-17,11671.443359,12295.476563,11564.181641,12132.839844,12132.839844,1065448892550
2020-01-18,12130.549805,12683.345703,11849.308594,12458.625977,12458.625977,1060635712399
2020-01-19,12465.867188,12593.212891,11629.027344,11862.989258,11862.989258,974317363565
2020-01-20,11858.321289,12013.666992,11531.792969,11871.990234,11871.990234,791690679280
2020-01-21,11867.725586,12094.202148,11803.047852,12079.043945,12079.043945,696807321010
2020-01-22,12072.736328,12160.360352,11859.249023,11967.330078,11967.330078,654907180023
2020-01-23,11967.440430,12005.877930,11434.023438,11621.854492,11621.854492,741618885145
2020-01-24,11619.772461,11719.453125,11180.253906,11629.707031,11629.707031,760163724452
2020-01-25,11630.855469,11642.263672,11314.541016,11503.657227,11503.657227,588931572356
2020-01-26,11496.017578,11998.626953,11432.349609,11988.412109,11988.412109,660619495680
2020-01-27,11983.543945,12355.341797,11925.083008,12213.011719,12213.011719,786269820576
2020-01-28,12209.723633,12564.692383,12163.448242,12564.692383,12564.692383,838704328685
2020-01-29,12563.093750,12753.291992,12482.839844,12482.839844,12482.839844,764818811919
2020-01-30,12473.381836,13330.663086,12336.852539,13218.297852,13218.297852,902124772923
2020-01-31,13221.620117,13256.332031,12605.045898,12881.272461,12881.272461,838584343547
2020-02-01,12877.954102,13144.773438,12851.600586,13132.503906,13132.503906,827221778851
2020-02-02,13122.390625,13805.055664,12882.256836,13485.965820,13485.965820,1004877360881
2020-02-03,13485.241211,13796.711914,13409.835938,13541.955078,13541.955078,883910673005
2020-02-04,13541.716797,13589.938477,13184.051758,13457.610352,13457.610352,832996171436
2020-02-05,13461.059570,14722.376953,13437.303711,14539.151367,14539.151367,1058270277422
2020-02-06,14531.993164,15301.460938,14396.366211,15140.413086,15140.413086,1171193821133
2020-02-07,15138.759766,15958.146484,15183.147461,15928.477539,15928.477539,1192417989944
2020-02-08,15913.093750,16204.673828,15403.566406,15958.546875,15958.546875,1197263882692
2020-02-09,15946.797852,16438.921875,15946.750000,16346.976563,16346.976563,1074979256257
2020-02-10,16344.871094,16340.977539,15549.216797,15937.280273,15937.280273,1155781711874
2020-02-11,15927.458008,16862.332031,15584.220703,16812.722656,16812.722656,1209333322414
2020-02-12,16816.074219,19423.699219,16820.843750,18925.076172,18925.076172,1750211795104
2020-02-13,18899.875000,19511.851563,18455.607422,19109.712891,19109.712891,1839079209731
2020-02-14,19104.296875,20389.201172,18794.587891,20329.197266,20329.197266,1685048839605
2020-02-15,20353.787109,20537.068359,18903.105469,18935.214844,18935.214844,1693932447079
2020-02-16,18947.765625,19518.724609,17344.416016,18589.738281,18589.738281,1799097500325
2020-02-17,18589.441406,19043.746094,17459.724609,19007.533203,19007.533203,1857062480451
2020-02-18,19017.906250,20272.593750,18710.748047,20183.000000,20183.000000,1897823908861
2020-02-19,20189.564453,20294.794922,18605.437500,18605.437500,18605.437500,1624399449662
2020-02-20,18609.441406,18884.916016,18000.107422,18541.921875,18541.921875,1669806558842
2020-02-21,18537.730469,19170.281250,18370.750000,19093.363281,19093.363281,1500119112796
2020-02-22,19089.837891,19149.910156,18612.617188,18858.371094,18858.371094,1215332437339
2020-02-23,18854.539063,19678.748047,18831.685547,19678.748047,19678.748047,1407934608650
